inchi_key,rdkit_smiles,PIC50
ZEUITGRIYCTCEM-KRWDZBQOSA-N,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,5.0
DKMFBWQBDIGMHM-UHFFFAOYSA-N,CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,7.0981794536752725
SNPPWIUOZRMYNY-UHFFFAOYSA-N,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,5.0
SAPNXPWPAUFAJU-UHFFFAOYSA-N,CN(CCCN1c2ccccc2CCc2ccccc21)CC(=O)c1ccc(Cl)cc1,5.436447600817597
KLBQZWRITKRQQV-UHFFFAOYSA-N,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,7.916086983620374
FFFHZYDWPBMWHY-UHFFFAOYSA-N,[NH3+]C(CCS)C(=O)[O-],5.0
AHOUBRCZNHFOSL-YOEHRIQHSA-N,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,5.0
SRPXSILJHWNFMK-ZBEGNZNMSA-N,N[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,5.0
VNFPBHJOKIVQEB-UHFFFAOYSA-N,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,5.390420026977072
QSLMDECMDJKHMQ-UHFFFAOYSA-N,CNCCCC12CCC(c3ccccc31)c1ccccc12,6.099162090979531
WSEQXVZVJXJVFP-UHFFFAOYSA-N,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,5.0
RQBRUGMHSQYCNU-UHFFFAOYSA-N,CN1CCc2c(c3cccc4c3n2Cc2ccccc2C4)C1,5.041672831162827
GIJXKZJWITVLHI-UHFFFAOYSA-N,CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2,6.638272163982407
GXDALQBWZGODGZ-UHFFFAOYSA-N,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,5.8206289158951225
CHZUEGVOEFMIJH-ZKRSMWHSSA-N,C1C2C3CC4C2C2C1C3[C@H](NCC13C5C6C7C5C1C7C63)C42,5.248678044711613
CHZUEGVOEFMIJH-UHFFFAOYSA-N,C1C2C3CC4C2C(NCC25C6C7C8C6C2C8C75)C2C1C3C42,5.24603
SLVMESMUVMCQIY-UHFFFAOYSA-N,CN1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21,8.042689149660633
LNEPOXFFQSENCJ-UHFFFAOYSA-N,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,9.167578683839286
LVXAMCKZCLWWTF-UHFFFAOYSA-N,N#Cc1cc(F)cc(C#Cc2csc(F)n2)c1,5.0
PGAUZNVGTNAJSV-UHFFFAOYSA-N,COc1ccc(NC(=O)N2CCN(c3ccccc3F)CC2)cc1N1CCN(C)CC1,5.0
MJJALKDDGIKVBE-UHFFFAOYSA-N,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,6.682267075343792
VGKDLMBJGBXTGI-YVEFUNNKSA-N,CN[C@@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,5.0
VGSYEFOBFMUWGO-OAHLLOKOSA-N,C[C@@H]1CCCN1CCc1cc2cc(C(=O)c3ccc(F)cc3)ccc2o1,5.0
WIHMMKGUBDZGEG-UHFFFAOYSA-N,Cc1ccc2c(-c3nnc(SCCCN4CCc5ccc(-c6cc(C)nn6C)cc5CC4)n3C)cccc2n1,6.3590467334965775
XUJNEKJLAYXESH-UHFFFAOYSA-N,[NH3+]C(CS)C(=O)[O-],5.0
HMXDWDSNPRNUKI-UHFFFAOYSA-N,CCc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Br)cc1,6.0
YVENIGOVHPMTDH-UHFFFAOYSA-N,CN1CCC2C(C1)c1cccc3c1N2c1ccccc1CS3,6.900006255485105
ODMLUIATXKBXOW-UHFFFAOYSA-N,O=C(O)CCCCCN1CCC(CNC(=O)c2c3n(c4ccccc24)CCCO3)CC1,5.041672831162827
OJSFTALXCYKKFQ-YLJYHZDGSA-N,COc1ccc(OC[C@H]2CN(C)CC[C@@H]2c2ccccc2)cc1,6.229147988357856
CEUORZQYGODEFX-UHFFFAOYSA-N,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,9.186620111542275
QWGDMFLQWFTERH-UHFFFAOYSA-N,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,7.348845941439677
DERZBLKQOCDDDZ-JLHYYAGUSA-N,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,6.588900078639583
FBDANPRMCCLYRK-UHFFFAOYSA-N,COc1ccc(NC(=O)N2CCN(c3ccccc3OC)CC2)cc1N1CCN(C)CC1,5.0
WIKYUJGCLQQFNW-UHFFFAOYSA-N,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,8.528448038677894
GDLIGKIOYRNHDA-UHFFFAOYSA-N,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,6.880082686421994
