compound_id,target_CHRM1_standard_value,target_CHRM2_standard_value,target_CHRM3_standard_value,target_CHRM4_standard_value,target_CHRM5_standard_value,target_DRD2_standard_value,target_HRH1_standard_value,target_HTR2A_standard_value,target_KCNH2_standard_value,target_OPRM1_standard_value,base_rdkit_smiles
CC(=O)N1CCN(C[C@@H](C)NC(=O)c2cc3c(-c4ccccc4)nn(C)c3s2)CC1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,CC(=O)N1CCN(C[C@@H](C)NC(=O)c2cc3c(-c4ccccc4)nn(C)c3s2)CC1
COc1ccc2c(c1)CC(CCN(C)C)=C2[C@@H](C)c1nccs1,5.0,,,,,,8.601029995663982,,5.522878745280337,,COc1ccc2c(c1)CC(CCN(C)C)=C2[C@@H](C)c1nccs1
OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,8.337242168318426,7.602059991327962,7.9065783148377635,8.231416378143676,7.619788758288393,,4.75,,,,OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1
COc1ccc(NC(=O)N2CCN(c3ccccc3Cl)CC2)cc1N1CCN(C)CC1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.221812736109662,,5.0,COc1ccc(NC(=O)N2CCN(c3ccccc3Cl)CC2)cc1N1CCN(C)CC1
COc1nccnc1CC1=C(CCN(C)C)Cc2cc(Cl)ccc21,5.699656668112006,,,,,,8.821302913648106,,6.138685549231052,,COc1nccnc1CC1=C(CCN(C)C)Cc2cc(Cl)ccc21
COc1ccc(NC(=O)N2CCN(c3ccc(SC)cc3)CC2)cc1N1CCN(C)CC1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.876346244766469,,5.0,COc1ccc(NC(=O)N2CCN(c3ccc(SC)cc3)CC2)cc1N1CCN(C)CC1
C[C@@H](C1=C(CCN(C)C)Cc2ccccc21)c1ccccn1,6.719995523445907,7.519996528521425,6.859997524690275,6.530000678890628,6.1199993058391176,,7.160009721160829,,,,C[C@@H](C1=C(CCN(C)C)Cc2ccccc21)c1ccccn1
COC(=O)CCCCCN1CCC(CNC(=O)c2c3n(c4ccccc24)CCCO3)CC1,5.033432861379978,5.599999794341207,5.018654047910903,5.0451283873048185,5.029231966035558,5.041672831162827,5.89999947239955,5.200000079036451,,5.050898691329959,COC(=O)CCCCCN1CCC(CNC(=O)c2c3n(c4ccccc24)CCCO3)CC1
CCN(C)C1CCCc2ccncc21,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,5.0,CCN(C)C1CCCc2ccncc21
COc1ccc2c(c1)CC(CCN(C)C)=C2[C@@H](C)c1nccnc1OC,5.0,,,,,,8.888685549231054,,5.437046507107425,,COc1ccc2c(c1)CC(CCN(C)C)=C2[C@@H](C)c1nccnc1OC
